Plot ID,pH,OM%,Mg,Ca,Mg/Ca,Mg_Deficit,CEC,Score,Rating,Wx_Mult,CO2_Lime_t/ha/yr,CO2_Full_t/ha/yr,Benefit_EUR/ha/yr
J. Moleiro 1,5.6,10,0.6,7.2,0.083,0.9,14.4,87.0,EXCELLENT,8.39,1.7,3.1,220.9
J. Moleiro 2,5.7,9,0.8,9.1,0.088,0.7,17.9,82.0,EXCELLENT,7.29,1.48,2.7,203.3
J. Moleiro 3,5.5,11,0.7,6.5,0.108,0.8,13.5,89.0,EXCELLENT,9.6,1.94,3.6,240.1
J. Moleiro 4,5.5,10,0.9,10.3,0.087,0.6,19.2,87.0,EXCELLENT,8.99,1.82,3.4,230.5
J. Moleiro 5,5.2,8,0.5,6.0,0.083,1.0,12.0,89.0,EXCELLENT,9.55,1.93,3.6,239.3
J. Moleiro 6,5.2,7,0.6,5.8,0.103,0.9,11.8,84.0,EXCELLENT,8.79,1.78,3.3,227.3
J. Moleiro 7,5.3,12,0.7,7.9,0.089,0.8,16.4,92.0,EXCEPTIONAL,11.72,2.37,4.4,274.5
J. Moleiro 8,5.4,9,0.8,8.4,0.095,0.7,16.0,84.0,EXCELLENT,8.97,1.82,3.4,230.5
J. Moleiro 9,5.9,8,0.9,11.2,0.08,0.6,20.2,81.0,EXCELLENT,5.89,1.19,2.2,180.1
J. Moleiro 10,5.7,9,0.7,8.7,0.08,0.8,16.3,85.0,EXCELLENT,7.29,1.48,2.7,203.3
J. Moleiro 11,6.0,6,1.0,9.8,0.102,0.5,18.8,77.0,VERY GOOD,4.63,0.94,1.7,160.1
